System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
65 8944.44 1389.82 92.101470 0.9960085239301993 0.996492 -1099531.956415 261.979519 33.075899 143.513435 -135.335448 2424.165240 -5.816 0.000 2.783199 3.168165 1.230 n/a n/a
68 10000.00 1416.66 93.922204 0.9958892481910814 0.996375 -1114897.045462 269.280929 33.652721 146.571227 -131.760366 2472.298762 -5.523 0.000 2.789564 3.164866 1.136 n/a n/a
66 8944.44 1387.82 91.735979 0.9960255202406036 0.996507 -1095319.183899 260.760455 32.939991 142.899519 -134.877047 2414.733083 -5.833 0.000 2.783596 3.168945 1.238 n/a n/a
69 10000.00 1414.65 93.538248 0.9959080668910320 0.996392 -1110485.445386 267.998518 33.510234 145.925437 -131.297748 2462.375291 -5.540 0.000 2.789978 3.165640 1.144 n/a n/a
70 10000.00 1412.65 93.157630 0.9959265674199059 0.996409 -1106113.627023 266.727058 33.369001 145.285424 -130.839188 2452.539803 -5.556 0.000 2.790391 3.166416 1.152 n/a n/a
67 8944.44 1385.82 91.373506 0.9960421938280247 0.996522 -1091142.571428 259.551291 32.805221 142.290834 -134.422453 2405.380556 -5.850 0.000 2.783993 3.169728 1.246 n/a n/a
71 10000.00 1410.65 92.780294 0.9959447492997187 0.996425 -1101780.904345 265.466365 33.229000 144.651089 -130.384618 2442.790840 -5.573 0.000 2.790803 3.167193 1.160 n/a n/a
68 8944.44 1383.82 91.013998 0.9960585423505850 0.996537 -1087001.475743 258.351858 32.671569 141.687290 -133.971601 2396.106305 -5.867 0.000 2.784388 3.170513 1.255 n/a n/a
72 10000.00 1408.64 92.406182 0.9959626117550274 0.996441 -1097486.600190 264.216258 33.090210 144.022337 -129.933969 2433.126962 -5.589 0.000 2.791213 3.167973 1.168 n/a n/a
70 8944.44 1379.82 90.303660 0.9960902527467062 0.996566 -1078823.291482 255.981513 32.407537 140.495259 -133.080860 2377.787278 -5.901 0.000 2.785173 3.172088 1.271 n/a n/a
73 10000.00 1406.64 92.035237 0.9959801536924282 0.996457 -1093230.045774 262.976559 32.952610 143.399070 -129.487176 2423.546752 -5.606 0.000 2.791621 3.168755 1.177 n/a n/a
71 8944.44 1377.82 89.952726 0.9961056077592192 0.996579 -1074784.944524 254.810270 32.277119 139.906595 -132.640843 2368.739862 -5.919 0.000 2.785563 3.172878 1.280 n/a n/a
74 10000.00 1404.64 91.667405 0.9959973736905000 0.996472 -1089010.580207 261.747092 32.816181 142.781195 -129.044172 2414.048810 -5.622 0.000 2.792028 3.169539 1.185 n/a n/a
72 8944.44 1375.82 89.604545 0.9961206239159673 0.996593 -1070779.596445 253.648097 32.147740 139.322712 -132.204309 2359.765435 -5.936 0.000 2.785953 3.173671 1.288 n/a n/a
