Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
69 4000.00 1277.45 88.656618 49.7698 0.643809 16.4341 0.53647 0 6.85711 10.5482 13.1834 1.69423 0.0903591 0 0.225898
67 7000.00 1286.46 87.718106 49.872 0.650697 16.6099 0.519637 0 6.81742 10.1603 13.3249 1.71236 0.0913259 0 0.228315
65 10000.00 1298.31 70.743442 48.5001 0.710978 18.6417 0.524951 0 7.88383 10.3243 10.9135 2.03736 0.113239 0 0.283098
70 4000.00 1275.45 88.421655 49.7942 0.645519 16.4777 0.536799 0 6.84839 10.4488 13.2171 1.69873 0.0905992 0 0.226498
68 7000.00 1284.46 87.272882 49.8776 0.652982 16.6763 0.520208 0 6.82297 10.0741 13.3216 1.72035 0.0917918 0 0.229479
70 1000.00 1264.47 89.330009 49.6965 0.638955 16.3102 0.556825 0 6.88329 10.817 13.0826 1.68146 0.0896779 0 0.224195
71 4000.00 1273.46 88.189354 49.8185 0.64722 16.5211 0.537122 0 6.83958 10.35 13.2507 1.70321 0.0908378 0 0.22709527
69 7000.00 1282.46 86.371660 49.8536 0.656704 16.796 0.521346 0 6.85504 9.98805 13.2557 1.73611 0.0927495 0 0.231874
71 1000.00 1262.47 89.086056 49.7213 0.640705 16.3548 0.557247 0 6.87529 10.7147 13.1169 1.68607 0.0899235 0 0.224809
72 4000.00 1271.46 87.959680 49.8427 0.64891 16.5643 0.537438 0 6.83066 10.252 13.284 1.70766 0.091075 0 0.227688426
70 7000.00 1280.45 85.486498 49.8306 0.660352 16.9151 0.522457 0 6.88674 9.90201 13.1899 1.75186 0.0937099 0 0.234275
73 4000.00 1269.47 87.732601 49.8667 0.650589 16.6071 0.537749 0 6.82165 10.1546 13.3172 1.71208 0.0913108 0 0.228277
68 10000.00 1292.30 67.226770 48.7171 0.726908 18.8243 0.530953 0 8.01216 9.89406 10.6798 2.12722 0.119163 0 0.297907
74 4000.00 1267.47 87.508085 49.8906 0.652258 16.6498 0.538054 0 6.81255 10.0579 13.3501 1.71647 0.091545 0 0.2288636
