Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
42 4000.00 1331.34 96.485530 49.0306 0.591569 15.1006 0.523337 0 7.05737 13.6095 12.1546 1.55676 0.0830273 0 0.207568
47 1000.00 1310.56 96.138284 49.0588 0.593706 15.1551 0.543365 0 7.0412 13.4788 12.1948 1.56238 0.0833272 0 0.208318
44 7000.00 1332.54 93.969716 49.256 0.607407 15.5049 0.510539 0 7.01576 12.684 12.4688 1.59844 0.0852501 0 0.213125
43 4000.00 1329.35 96.157950 49.059 0.593585 15.152 0.523863 0 7.0519 13.491 12.1942 1.56206 0.0833101 0 0.20827525
44 4000.00 1327.35 95.834483 49.0872 0.595588 15.2032 0.524381 0 7.0463 13.3732 12.2336 1.56734 0.0835913 0 0.208978
49 1000.00 1306.55 95.492190 49.1153 0.597723 15.2577 0.544558 0 7.03092 13.2419 12.2735 1.57296 0.083891 0 0.209727
42 10000.00 1344.36 93.384455 49.3114 0.611214 15.602 0.498001 0 7.00605 12.4651 12.5467 1.60846 0.0857844 0 0.214461
46 7000.00 1328.53 93.378791 49.3104 0.611251 15.603 0.51135 0 7.00175 12.4587 12.5447 1.60856 0.0857896 0 0.214474
45 4000.00 1325.36 95.515050 49.1153 0.59758 15.254 0.524892 0 7.04057 13.256 12.2728 1.57258 0.0838709 0 0.209677
50 1000.00 1304.55 95.175194 49.1432 0.599714 15.3085 0.545142 0 7.02558 13.1244 12.3125 1.57819 0.0841704 0 0.210426
43 10000.00 1342.35 92.247855 49.2698 0.616075 15.7336 0.499409 0 7.04458 12.3721 12.4834 1.62573 0.0868414 0 0.217103
47 7000.00 1326.53 93.088630 49.3374 0.613156 15.6516 0.511746 0 6.99456 12.3471 12.5824 1.61357 0.086057 0 0.215143
46 4000.00 1323.36 95.199576 49.1432 0.59956 15.3046 0.525395 0 7.03471 13.1396 12.3118 1.57779 0.0841488 0 0.210372
51 1000.00 1302.54 94.862131 49.171 0.601693 15.359 0.545718 0 7.0201 13.0077 12.3513 1.5834 0.0844481 0 0.21112
48 7000.00 1324.53 92.801926 49.3642 0.615051 15.7 0.512134 0 6.98726 12.2362 12.6198 1.61855 0.0863229 0 0.215807
47 4000.00 1321.36 94.887987 49.171 0.601529 15.3548 0.52589 0 7.02872 13.0238 12.3505 1.58297 0.0844251 0 0.211063
44 10000.00 1340.35 91.115904 49.2281 0.62095 15.8667 0.500819 0 7.08347 12.2781 12.4188 1.64329 0.0879202 0 0.219801
49 7000.00 1322.52 92.518624 49.3909 0.616934 15.7481 0.512516 0 6.97985 12.1259 12.657 1.62351 0.0865872 0 0.216468
48 4000.00 1319.37 94.580214 49.1986 0.603487 15.4048 0.526378 0 7.0226 12.9087 12.389 1.58812 0.0846999 0 0.21175
50 7000.00 1320.52 92.238669 49.4174 0.618806 15.7958 0.512891 0 6.97232 12.0164 12.694 1.62844 0.08685 0 0.217125
49 4000.00 1317.37 94.276187 49.2261 0.605433 15.4545 0.526859 0 7.01636 12.7944 12.4273 1.59324 0.084973 0 0.212433
45 10000.00 1338.35 90.006396 49.1872 0.625763 15.9991 0.502202 0 7.12211 12.1847 12.354 1.66088 0.089004 0 0.22251
53 1000.00 1298.54 94.247514 49.2262 0.605617 15.4592 0.546849 0 7.00876 12.7763 12.4282 1.59373 0.0849989 0 0.212497
50 4000.00 1315.38 93.975842 49.2534 0.607368 15.5039 0.527333 0 7.00999 12.6806 12.4654 1.59834 0.0852446 0 0.213111
51 7000.00 1318.52 91.962011 49.4438 0.620668 15.8434 0.513259 0 6.96467 11.9075 12.7308 1.63334 0.0871113 0 0.217778
46 10000.00 1336.35 88.918525 49.147 0.63051 16.1308 0.503558 0 7.1605 12.0917 12.2888 1.67848 0.0900929 0 0.225232
54 1000.00 1296.53 93.945824 49.2535 0.607562 15.5088 0.547402 0 7.00289 12.6616 12.4664 1.59885 0.0852718 0 0.21318
51 4000.00 1313.38 93.679114 49.2805 0.609291 15.553 0.527799 0 7.00349 12.5676 12.5033 1.6034 0.0855146 0 0.213786
52 7000.00 1316.51 91.688599 49.4701 0.622519 15.8906 0.51362 0 6.95691 11.7993 12.7674 1.63821 0.0873711 0 0.218428
55 1000.00 1294.53 93.647792 49.2807 0.609495 15.5582 0.547948 0 6.99689 12.5476 12.5043 1.60393 0.0855432 0 0.213858
47 10000.00 1334.35 87.851525 49.1076 0.635193 16.2619 0.504887 0 7.19866 11.9992 12.2234 1.6961 0.0911872 0 0.227968
53 7000.00 1314.51 91.418384 49.4962 0.624359 15.9376 0.513975 0 6.94904 11.6917 12.8038 1.64305 0.0876293 0 0.219073
52 4000.00 1311.38 93.385944 49.3075 0.611204 15.6018 0.528258 0 6.99688 12.4552 12.5409 1.60843 0.0857831 0 0.214458
56 1000.00 1292.52 93.353354 49.3078 0.611418 15.6072 0.548487 0 6.99076 12.4343 12.542 1.60899 0.085813 0 0.214532
53 4000.00 1309.39 93.096271 49.3344 0.613106 15.6503 0.528711 0 6.99014 12.3436 12.5783 1.61344 0.08605 0 0.215125
48 10000.00 1332.34 86.804665 49.0689 0.63981 16.3924 0.50619 0 7.23657 11.9072 12.1577 1.71374 0.0922869 0 0.230717
57 1000.00 1290.52 93.062451 49.3347 0.613329 15.656 0.549018 0 6.98451 12.3217 12.5795 1.61402 0.0860812 0 0.215203
55 7000.00 1310.50 90.887357 49.5481 0.628007 16.0307 0.514666 0 6.93297 11.4788 12.8759 1.65265 0.0881413 0 0.220353
54 4000.00 1307.39 92.810039 49.3611 0.614997 15.6986 0.529156 0 6.98328 12.2326 12.6156 1.61841 0.0863154 0 0.215788
49 10000.00 1330.34 85.777248 49.0309 0.644361 16.5222 0.507467 0 7.27426 11.8156 12.0917 1.73141 0.0933923 0 0.233481
58 1000.00 1288.52 92.775024 49.3614 0.615229 15.7045 0.549543 0 6.97813 12.2098 12.6168 1.61902 0.0863479 0 0.21587
56 7000.00 1308.50 90.626454 49.5738 0.629815 16.0769 0.515002 0 6.92478 11.3733 12.9117 1.65741 0.0883951 0 0.220988
55 4000.00 1305.39 92.527193 49.3877 0.616877 15.7466 0.529594 0 6.97631 12.1222 12.6526 1.62336 0.0865792 0 0.216448
50 10000.00 1328.34 84.768611 48.9936 0.648845 16.6515 0.508719 0 7.31172 11.7246 12.0253 1.7491 0.0945035 0 0.236259
59 1000.00 1286.51 92.491016 49.388 0.617118 15.7528 0.550059 0 6.97163 12.0986 12.6538 1.624 0.0866131 0 0.216533618
56 4000.00 1303.40 92.247678 49.4141 0.618746 15.7943 0.530025 0 6.96921 12.0126 12.6894 1.62828 0.0868415 0 0.217104
57 4000.00 1301.40 91.971444 49.4404 0.620604 15.8417 0.530449 0 6.962 11.9036 12.726 1.63317 0.0871024 0 0.217756
58 7000.00 1304.49 90.113652 49.6248 0.633399 16.1683 0.515654 0 6.90807 11.1644 12.9826 1.66684 0.0888981 0 0.222245
51 10000.00 1326.34 83.778121 48.9571 0.653262 16.7801 0.509946 0 7.34896 11.634 11.9587 1.76682 0.0956208 0 0.239052
60 1000.00 1284.51 92.210373 49.4145 0.618996 15.8007 0.550569 0 6.965 11.9881 12.6907 1.62894 0.0868767 0 0.217192
58 4000.00 1299.41 91.698439 49.4665 0.622452 15.8889 0.530867 0 6.95467 11.7953 12.7624 1.63803 0.0873617 0 0.218404
52 10000.00 1324.34 82.805175 48.9213 0.657611 16.9081 0.511148 0 7.38599 11.5438 11.8916 1.78457 0.0967443 0 0.241861
59 7000.00 1302.49 89.861670 49.6501 0.635175 16.2137 0.515971 0 6.89955 11.0609 13.0177 1.67151 0.0891474 0 0.222868
61 1000.00 1282.51 91.933042 49.4408 0.620864 15.8484 0.551071 0 6.95825 11.8782 12.7273 1.63385 0.0871388 0 0.217847
